,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
700,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ERI838,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.96302983   51.0231227 ]
701,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HUN627,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.05431278   51.11709191]
702,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HUN630,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.06775785   51.12098271]
703,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MOR133,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.92457767   51.09038246]
704,WEST DALHOUSIE SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,DAL075,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.16852541   51.1114166 ]
705,RADIO TOWER WETLANDS,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SVO869,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,NO PARKS MAINTENACE EAST OF THE PATHWAY. SILVERADO RESIDENTS ASSOC OWNS PARCELS EAST OF PATHWAY,ACTIVE,[-114.09156008   50.88282927]
706,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,LKV505,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.12338862   50.9927591 ]
707,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EDG833,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.12971494   51.13974069]
708,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,LKV507,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.1184513    50.99160536]
709,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EDG846,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.12643534   51.1380591 ]
710,KEELER ELEM; HOLY REDEEMER ELEM,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,FHT604,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.96357803   51.0484169 ]
711,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,FHT613,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.97123486   51.04997127]
712,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,FHT618,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.97677506   51.04887674]
713,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HIW861,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07651284   51.09428351]
714,HAWKWOOD ELEM; ST MARIA GORETTI ELEM,DISTRICT PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT HAW006,HAW006,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.17673042   51.13215057]
715,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HAW011,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.18960014   51.12827797]
716,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HAW069,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.18667423   51.13362461]
717,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CPF860,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.94739766   50.91291964]
718,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,DOV756,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.97206332   51.02938562]
719,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,DOV757,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.97111197   51.02652488]
720,EDGEMONT ELEM,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,EDG140,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.14378055   51.12822382]
721,TOM BAINES JR HIGH SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EDG149,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.15551153   51.13356222]
722,FAIRVIEW ELEM & JR HIGH; LE ROI DANIELS SCHOOL,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,FAI209,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.05915946   50.98276547]
723,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,DAL093,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.14924486   51.10462888]
724,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HAW166,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.16606011   51.13631718]
725,MOTHER MARY GREENE ELEM,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EDG056,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.13943643   51.12435186]
726,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HUN717,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.0537789    51.12162664]
727,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HID844,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10389955   51.1516581 ]
728,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,LKB500,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.05624775   50.94133664]
729,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HID242,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10251441   51.16005708]
730,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,HAW146,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.18549804   51.13042887]
731,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,EYA380,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07107237   51.0099459 ]
732,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS072,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.96431957   51.10468027]
733,JOHN PAUL II SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS073,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-113.95692213   51.10761379]
734,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS074,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.96148621   51.10885474]
735,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAN933,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08247797   50.9445867 ]
736,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS069,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.94993653   51.10819783]
737,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS070,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.95198012   51.10936022]
738,O S GEIGER ELEM,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,CAS071,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-113.96050172   51.10427037]
739,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS075,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.95481217   51.10912419]
740,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS076,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.96671645   51.10761604]
741,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,FLI153,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.96401759   51.03056384]
742,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,GAW635,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11232446   51.0206595 ]
743,BELVEDERE PARKWAY SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BOW172,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.21226236   51.09289317]
744,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CAS077,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.96355438   51.10318437]
745,MONSIGNOR A J HETHERINGTON ELEM; DON HARTMAN SPORTSPLEX,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,COR358,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.93235825   51.10087397]
746,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CRA024,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.97986637   50.89275547]
747,NIITSITAPI LEARNING CENTRE SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,DOV010,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.97982422   51.02058087]
748,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,SAN760,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.09016714   51.13608   ]
749,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,GDL614,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.14510948   51.03066477]
750,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ARB962,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.18903739   51.13895268]
751,BOWNESS HIGH SCHOOL; BOWNESS COMMUNITY ASSOC,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BOW178,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.20030988   51.09152112]
752,OUR LADY OF THE ASSUMPTION ELEM & JR HIGH,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT BOW186,BOW186,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.19075169   51.08298877]
753,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT BOW199,BOW199,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.19639234   51.09764946]
754,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CGR210,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.2120653    51.06880194]
755,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CGR221,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.22009586   51.06844553]
756,BISHOP CARROLL SENIOR HIGH,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,CUR553,,CALGARY PARKS SHARED,CALGARY SEPARATE SCHOOL BOARD,,ACTIVE,[-114.11948666   51.01214567]
757,DEER RUN ELEM,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,DRN547,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.00880535   50.92079296]
758,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,DRN559,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.01782078   50.92041516]
759,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,EVE928,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10778653   50.90954098]
760,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EVE958,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10354362   50.92587273]
761,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,APP905,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.92444467   51.0479268 ]
762,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HUN722,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.0832251    51.11358171]
763,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ACA202,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.05110534   50.97971202]
764,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ASP006,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.19813117   51.04037115]
765,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ACA203,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.04733122   50.97628698]
766,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CED114,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.13842436   50.95410197]
767,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CED089,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.13407947   50.95326904]
768,CEDARBRAE ELEM,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CED091,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT ON FILE FOR DOG DISPENSERS EXPIRES 2018/10/29,ACTIVE,[-114.1349087   50.9590404]
769,ST CYRIL ELEM & JR HIGH,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CED107,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,OPTIONAL AMENITIES AGREEMENT ON FILE FOR DOG DISPENSERS EXPIRES 2018/10/29,ACTIVE,[-114.13010647   50.95500868]
770,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ALB621,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.99360315   51.04544531]
771,FATHER LACOMBE HIGH SCHOOL; HOLY FAMILY ELEM,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,ALB626,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.98586236   51.04616522]
772,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ACA198,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.04918825   50.97715699]
773,,REGIONAL PARK,2,NON TITLED,EA - PARKS EASEMENT,,,SCE415,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.22885107   51.09972824]
774,BISHOP KIDD JR HIGH,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ALB628,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.99219857   51.04158904]
775,SIR WILFRID LAURIER JR HIGH SCHOOL; RADISSON PARK ELEM,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,ALB632,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.99064203   51.04578502]
776,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ALB630,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.99850923   51.0417271 ]
777,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SGH005,4420 SAGE HILL DR NW,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.1375746    51.18183526]
778,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BRA085,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10943363   50.95686779]
779,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BRA103,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11426616   50.95954814]
780,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BRA080,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.10323426   50.95414485]
781,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BRA100,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.09809445   50.9599893 ]
782,BRAESIDE ELEM,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BRA099,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.10208793   50.95541868]
783,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,BRA102,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11526273   50.95598244]
784,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BRA104,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11348193   50.95684837]
785,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CPF011,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.93125861   50.9282737 ]
786,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ALP005,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.15390067   50.92024515]
787,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ASP503,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.19444667   51.0435768 ]
788,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HAM440,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.14624083   51.14489482]
789,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,ASP504,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-114.20047411   51.0477098 ]
790,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BED613,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.05989361   51.12875658]
791,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BED592,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07900773   51.12714048]
792,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BED593,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.08711968   51.12959839]
793,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,BNF331,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.12405654   51.08376826]
794,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BUR982,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.02259859   51.00615205]
795,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BED610,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.06802112   51.13049389]
796,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,BED615,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.06031009   51.12661326]
797,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CHW375,,CALGARY PARKS,CALGARY PARKS SHARED,MAINTENANCE SHARED WITH TRIWOOD CMTY ASSOCIATION - LEASE,ACTIVE,[-114.11123725   51.08532447]
798,SADDLE RIDGE GREENWAY,REGIONAL PARK,2,NON TITLED,EA - PARKS EASEMENT,,,SAD066,SADDLERIDGE GREENWAY,CALGARY PARKS SHARED,CALGARY PARKS SHARED,GREENWAY MAINTENANCE,ACTIVE,[-113.92550631   51.1335672 ]
799,SIBYLLA KIDDLE SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CRA053,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-113.97164695   50.87812313]
800,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HAM960,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.15548239   51.14317527]
801,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,PUM030,,CALGARY PARKS,CALGARY PARKS SHARED,ENCROACHMENT,ACTIVE,[-114.09766306   50.96325598]
802,,LINEAR PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,HAR465,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.05835493   51.15120252]
803,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EVN275,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.11148709   51.17230727]
804,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CIT364,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.18459264   51.14369833]
805,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CIT366,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.19390721   51.14395403]
806,,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,CPF882,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-113.92604826   50.92020869]
807,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CIT414,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.16637499   51.1453706 ]
808,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CIT417,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.17072615   51.14395935]
809,ARBOUR LAKE JR HIGH,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,ARB212,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.21206656   51.13518054]
810,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ROC672,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.23778105   51.13715406]
811,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,CIT419,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.16982918   51.14211812]
812,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,CPF852,,CALGARY PARKS,CALGARY PARKS SHARED,,ACTIVE,[-113.94184966   50.91003163]
813,,NON-PARK,1,TITLED,NO BREAKDOWN,,,NEB849,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.95497252   50.92554199]
814,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,SITE SPLIT COU014,COU014,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.07636138   51.14373942]
815,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MCT839,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-113.96135811   50.92541732]
816,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ASP502,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.19034968   51.04203761]
817,KENNETH D TAYLOR ELEM,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,EVN267,,CALGARY PARKS SHARED,CALGARY PARKS,,ACTIVE,[-114.11858697   51.16566034]
