,SITE_NAME,PLANNING_CATEGORY,ASSET_TYPE,TYPE_DESCRIPTION,MINORTYPE,CULTURAL_LANDSCAPE,ASSET_CLASS,ASSET_CD,LOCATION_DETAIL,STEWARD,MAINTAINED_BY,MAINT_INFO,LIFE_CYCLE_STATUS,centroid
1391,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,REN001,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.02972328   51.05698896]
1392,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,MAH051,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-113.9316999    50.89530316]
1393,,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,PAN008,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.09996873   51.16725625]
1394,ST JOSEPHINE BAKHITA SCHOOL,NEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,EVN007,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.10289966   51.17606908]
1395,,LINEAR PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,SPH019,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.18920848   51.0212614 ]
1396,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,RIV861,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.01439829   50.97433498]
1397,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,CULTURALLY SIGNIFICANT SITE,,QLD517,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.01610155   50.93829439]
1398,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,QLD522,,CALGARY PARKS,CALGARY PARKS,,ACTIVE,[-114.02834022   50.93838047]
1399,,SUBNEIGHBOURHOOD PARK,1,TITLED,NO BREAKDOWN,,,ROC409,,CALGARY PARKS,CALGARY PARKS SHARED,"MAINTAINED AS PER LANDSCAPE MAINTENANCE AGREEMENT, EXPIRES 2042/12/31; SEE PARIS_REPOSITORY\AGREEMENTS\LANDSCAPE_MAINTENANCE_AGREEMENT",ACTIVE,[-114.2493431    51.14631482]
1400,SIR JAMES LOUGHEED ELEM; RUTLAND PARK COMMUNITY ASSOC,COMMUNITY PARK,1,TITLED,NO BREAKDOWN,,,RUT622,,CALGARY PARKS SHARED,CALGARY PARKS SHARED,,ACTIVE,[-114.13551866   51.01980975]
