,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
181,99,#6B 2015 22 ST SW,2021-12-14,2021,2023-11-21,2023,Townhouse,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,KALAMOIR,9,1670810,RICHMOND,RIC,1367000,8480000,7113000,95000.0,"[-114.11385949999999, 51.03532227]",,,"185,645.56",,,3.115837721763974
182,124,733 MARINE DR SE,2019-08-07,2019,2021-08-24,2021,Unspecified,BAYWEST HOMES,0,BAYWEST HOMES,18,3299984,MAHOGANY,MAH,1294000,8534000,7240000,102000.0,"[-113.92551675, 50.89078158]",,,"183,332.44",,,19.95241642272739
183,119,7840 8A AV SW,2019-01-25,2019,2020-03-20,2020,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,0,16,4746372,WEST SPRINGS,WSP,1782000,9294000,7512000,133000.0,"[-114.1996306, 51.06201534]",,,"296,648.25",,,9.133590574489213
184,14,62 WALDEN LN SE,2018-01-04,2018,2023-12-12,2023,Townhouse,ROCKFORD WALDEN,ROCKFORD WALDEN,ROCKFORD WALDEN,36,6719363,WALDEN,WAL,3143000,10665500,7522500,95000.0,"[-114.02901971666667, 50.868636540000004]",,,"186,648.97",,,19.80989396233657
185,48,7 WOLF CREEK DR SE,2021-12-21,2021,2023-04-17,2023,Townhouse,ALLISTON AT HOME,ALLISTON AT HOME,0,18,3945239,WOLF WILLOW,WWO,1470500,9004000,7533500,,"[-114.00922735, 50.87689972]",,,"219,179.94",,,19.171215721997566
186,162,648 CORNERSTONE BV NE,2020-06-11,2020,2023-08-30,2023,Unspecified,SUNSTAR HOMES CORNERSTONE DEVELOPMENTS LTD.,SUNSTAR HOMES CORNERSTONE DEVELOPMENTS LTD.,SUNSTAR HOMES,19,3711702,CORNERSTONE,CNS,2422500,10133500,7711000,,"[-113.93776807500001, 51.1498975775]",,,"195,352.74",,,14.981763938051317
187,78,1254 CARRINGTON BV NW,2018-11-21,2018,2020-05-28,2020,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,36,6480912,CARRINGTON,CAR,4037000,11819000,7782000,,"[-114.08952883333333, 51.17898278777778]",,,"180,025.33",,,14.978642242410013
188,66,1367 CORNERSTONE BV NE,2019-08-08,2019,2023-11-02,2023,Unspecified,STEALTH HOMES,0,STEALTH HOMES,21,4330917,CORNERSTONE,CNS,1429500,9641500,8212000,,"[-113.938464925, 51.158718955]",,,"206,234.14",,,15.729921449232366
189,32,442 SETON CI SE,2020-11-13,2020,2023-04-03,2023,Townhouse,AVALON MASTER BUILDER,0,AVALON MASTER BUILDER,48,6902105,SETON,SET,753000,9009500,8256500,,"[-113.95423733333332, 50.86882521333333]",,,"143,793.85",,,21.224933998396082
190,62,248 CARRINGHAM WY NW,2022-10-25,2022,2023-10-17,2023,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY (ABERDEEN HEIGHTS),16,3493309,CARRINGTON,CAR,446000,8713000,8267000,,"[-114.092693375, 51.184609637499996]",,,"218,331.81",,,15.62127111227708
191,60,3414 15 ST SW,2017-12-15,2017,2020-01-31,2020,Townhouse,JF HOMES HOLDING LTD.,JF HOMES HOLDING LTD.,0,16,3207029,SOUTH CALGARY,SOC,504500,8863000,8358500,95000.0,"[-114.0968658, 51.02362083666667]",,,"200,439.31",,,2.926245247205028
192,81,#2302 200 SETON CI SE,2022-05-03,2022,2023-11-07,2023,Townhouse,LOGEL HOMES,LOGEL HOMES,LOGEL HOMES,64,10680668,SETON,SET,1060000,10007500,8947500,,"[-113.9558397, 50.8703796]",,,"166,885.44",,,21.022057486931807
193,24,242 CITYSCAPE BV NE,2017-11-28,2017,2019-03-07,2019,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,0,35,5434159,CITYSCAPE,CSC,2146500,11946500,9800000,,"[-113.9621298375, 51.147172922500005]",,,"155,261.69",,,13.729258107771264
194,120,11149 CITYSCAPE DR NE,2022-07-21,2022,2023-11-21,2023,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,27,5628196,CITYSCAPE,CSC,1671000,12571500,10900500,,"[-113.95563441428571, 51.15207573285714]",,,"208,451.70",,,14.434723852275239
195,85,1381 LEGACY CI SE,2017-06-02,2017,2019-06-13,2019,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,0,50,8865343,LEGACY,LEG,5296000,16670500,11374500,95000.0,"[-114.00227394545455, 50.85922478545455]",,,"177,306.86",,,21.196099497281526
196,65,#5B 1506 10 AV SE,2020-10-21,2020,2022-03-30,2022,Unspecified,PROFESSIONAL CUSTOM HOMES,PROFESSIONAL CUSTOM HOMES,PEAK CONTRACTING SERVICES,11,3932109,INGLEWOOD,ING,503000,12600000,12097000,66000.0,"[-114.0292341, 51.0386837]",,,"357,464.45",,,3.056711506585194
197,223,51 CRESTRIDGE CM SW,2019-06-05,2019,2022-07-15,2022,Townhouse,GRAVITY ARCHITECTURE,GRAVITY ARCHITECTURE,PARTNERS DEVELOPMENT GROUP,6,1162075,CRESTMONT,CRM,537115,12821664,12284549,133000.0,"[-114.2590511, 51.08086775]",,,"193,679.17",,,13.683012871857587
198,178,2032B 18 AV NW,2021-07-20,2021,2022-09-28,2022,Unspecified,PROFESSIONAL CUSTOM HOMES,PROFESSIONAL CUSTOM HOMES,0,13,3930804,BANFF TRAIL,BNF,1851000,14200000,12349000,71500.0,"[-114.1078405, 51.06913075]",,,"302,369.54",,,3.698048278959278
199,116,191 LES JARDINS PA SE,2021-07-08,2021,2023-12-08,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,JAYMAN BUILT MULTI FAMILY,24,5419219,DOUGLASDALE/GLEN,DDG,195000,13260000,13065000,102000.0,"[-114.004648575, 50.957445275]",,,"225,800.79",,,10.786145456170912
200,12,525 SAGE HILL RD NW,2021-10-13,2021,2023-09-27,2023,Unspecified,CALBRIDGE HOMES,0,CALBRIDGE HOMES,35,7034625,SAGE HILL,SGH,3299500,16452000,13152500,,"[-114.14964198888889, 51.17519918111111]",,,"200,989.29",,,15.48956045674078
201,26,230 ALPINE AV SW,2021-12-01,2021,2023-10-27,2023,Unspecified,GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,27,6303983,ALPINE PARK,ALP,1109500,15433000,14323500,,"[-114.1420602125, 50.916065528749996]",,,"233,480.85",,,15.127205385722553
202,36,36 CITYSIDE GV NE,2021-05-26,2021,2023-03-15,2023,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,38,7077901,CITYSCAPE,CSC,2351500,16695500,14344000,,"[-113.96759403000001, 51.144078104]",,,"186,260.55",,,13.231448163514896
203,46,55 CITYSCAPE RO NE,2017-04-06,2017,2021-08-04,2021,Townhouse,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,64,10298655,CITYSCAPE,CSC,3364500,18168000,14803500,,"[-113.96015451666666, 51.15338331]",,,"160,916.48",,,14.381476959744946
204,28,231 LUCAS BV NW,2018-05-18,2018,2022-05-27,2022,Unspecified,DAYTONA HOMES CALGARY LP,0,DAYTONA HOMES CALGARY LP,57,10932754,LIVINGSTON,LIV,5072500,20299500,15227000,,"[-114.07593522941177, 51.18603154823529]",,,"191,802.70",,,15.714238107215426
205,80,#4 90 AMBLESIDE PA NW,2022-03-18,2022,2023-05-19,2023,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,5,1167492,AMBLETON,ABT,3446800,18860000,15413200,,"[-114.1165833, 51.18345672]",,,"233,498.40",,,15.737812231318472
206,68,232 AUBURN MEADOWS MR SE,2018-06-07,2018,2022-07-15,2022,Townhouse,BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),BROOKFIELD RESIDENTIAL (ALBERTA),56,8536046,AUBURN BAY,AUB,2966500,18984000,16017500,102000.0,"[-113.94599434444444, 50.89337783777778]",,,"152,429.39",,,18.99883255621758
207,37,260 HARVEST HILLS WY NE,2019-02-26,2019,2021-07-14,2021,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,CEDARGLEN LIVING,67,15421330,HARVEST HILLS,HAR,1940000,18572500,16632500,92000.0,"[-114.04249806923077, 51.15093347]",,,"230,169.10",,,11.985907766749031
208,38,6 BELVEDERE AV SE,2021-05-03,2021,2023-12-13,2023,Unspecified,ALLISTON AT HOME,ALLISTON AT HOME,0,46,9759915,BELVEDERE,BVD,2190500,19289000,17098500,,"[-113.90609324545454, 51.04092934727273]",,,"212,172.07",,,11.598530517698654
209,11,130 TUSCANY SUMMIT SQ NW,2018-11-26,2018,2023-11-02,2023,Townhouse,ROCKFORD TUSCANY,ROCKFORD TUSCANY,ROCKFORD TUSCANY,52,8293789,TUSCANY,TUS,703000,18947000,18244000,111000.0,"[-114.2549334375, 51.14129398125]",,,"159,495.94",,,16.694529950432514
210,1,11 CARRINGHAM WY NW,2022-07-15,2022,2023-12-15,2023,Townhouse,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY (ABERDEEN HEIGHTS),40,8502810,CARRINGTON,CAR,672000,19949500,19277500,,"[-114.0900712888889, 51.186815242222224]",,,"212,570.25",,,15.849764310542758
211,77,421 SAGE HILL GV NW,2017-05-25,2017,2020-04-17,2020,Townhouse,CLEM LAU ARCHITECTS & DESIGNERS,CLEM LAU ARCHITECTS & DESIGNERS,0,75,13965466,SAGE HILL,SGH,2593000,24121500,21528500,,"[-114.13514633636363, 51.17229136181818]",,,"186,206.21",,,14.855578583539192
212,21,156 WOLF HOLLOW PA SE,2019-04-05,2019,2022-07-25,2022,Unspecified,STEPPER HOMES,0,STEPPER HOMES,71,13993700,WOLF WILLOW,WWO,1761000,24476500,22715500,,"[-113.99901075, 50.874440468125]",,,"197,094.37",,,19.61147750842984
213,94,101 HOMESTEAD BV NE,2020-11-17,2020,2023-10-25,2023,Unspecified,PARTNERS DEVELOPMENT GROUP,PARTNERS DEVELOPMENT GROUP,PARTNERS DEVELOPMENT GROUP,58,9238186,HOMESTEAD,HSD,2562000,26430500,23868500,,"[-113.9134354875, 51.114923791875]",,,"159,279.07",,,13.54366228902021
214,50,3028B 85 ST SW,2020-04-27,2020,2022-03-22,2022,Unspecified,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,52,8774755,SPRINGBANK HILL,SPH,1290000,26111000,24821000,133000.0,"[-114.21051307, 51.026443396999994]",,,"168,745.29",,,9.904554003889004
215,87,#110 6527 36 AV NW,2019-05-28,2019,2023-07-19,2023,Townhouse,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,ONYX HOMES,34,5806351,BOWNESS,BOW,5185000,30040000,24855000,63200.0,"[-114.1842037, 51.08558538]",,,"170,775.03",,,9.068595501964309
216,74,#22 1426 23 AV NW,2018-11-23,2018,2020-09-09,2020,Townhouse,JACKSON MCCORMICK DESIGN GROUP,JACKSON MCCORMICK DESIGN GROUP,0,24,5491540,CAPITOL HILL,CAP,1406000,27040000,25634000,71500.0,"[-114.0935569, 51.07331876]",,,"228,814.17",,,3.5210582687327983
217,49,1142 SAGE HILL GV NW,2022-01-10,2022,2023-12-11,2023,Townhouse,TRICO HOMES,0,TRICO HOMES,64,13683507,SAGE HILL,SGH,4471500,31002500,26531000,,"[-114.13918504444445, 51.17323838111111]",,,"213,804.80",,,15.041814023788518
218,25,#701 50 CORNERSTONE PS NE,2021-04-30,2021,2023-01-24,2023,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,85,17901685,CORNERSTONE,CNS,4900000,32826000,27926000,,"[-113.9436723846154, 51.16434592461538]",,,"210,608.06",,,16.032177704680315
219,23,876 CORNERSTONE BV NE,2021-09-13,2021,2023-10-03,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,SHANE HOMES,80,17006940,CORNERSTONE,CNS,3760000,35849500,32089500,,"[-113.93659985384616, 51.15332387615385]",,,"212,586.75",,,15.330909659019328
220,4,#254 301 REDSTONE BV NE,2017-01-27,2017,2023-12-14,2023,Townhouse,NORR ARCHITECTS ENGINEERS PLANNERS,NORR ARCHITECTS ENGINEERS PLANNERS,STREETSIDE DEVELOPMENT,126,24803034,REDSTONE,RSN,2383000,41542000,39159000,,"[-113.95127266399999, 51.17005829359999]",,,"196,849.48",,,16.281988275357982
221,35,863 CRANSTON AV SE,2017-08-31,2017,2023-10-16,2023,Unspecified,BROOKFIELD RESIDENTIAL (ALBERTA),0,BROOKFIELD RESIDENTIAL (ALBERTA),141,24145078,CRANSTON,CRA,4763000,50132910,45369910,102000.0,"[-113.97663830869564, 50.865634005217395]",,,"171,241.69",,,21.002673565381368
222,0,#406 5030 84 AV NE,2022-11-16,2022,2023-11-27,2023,Townhouse,RICK BALBI ARCHITECT,RICK BALBI ARCHITECT,0,30,4333200,SADDLE RIDGE,SAD,3400000,77760000,74360000,88000.0,"[-113.9623052, 51.12897805]",,,"144,440.00",,,12.096693364793206
223,58,59 WOLF CREEK AV SE,2020-04-08,2020,2023-10-19,2023,Unspecified,LOOK MASTER BUILDER CALGARY,LOOK MASTER BUILDER CALGARY,0,64,17906580,WOLF WILLOW,WWO,3802000,199725410,195923410,,"[-114.00658922, 50.87508383666667]",,,"279,790.31",,,19.410545000069884
