,Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public Schhol,downtown
47,115,1340B 20 AV NW,2021-07-13,2021,2022-08-29,2022,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,4,1689098,CAPITOL HILL,CAP,573500,2000000,1426500,71500.0,"[-114.0920888, 51.07093316]",,,"422,274.50",,,3.23754017358698
48,167,#1B 462 20 AV NW,2022-03-16,2022,2023-11-16,2023,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,EAGLE CREST CONSTRUCTION,4,944103,MOUNT PLEASANT,MOP,911000,2360000,1449000,78000.0,"[-114.0708638, 51.07072771]",,,"236,025.75",,,2.8913504970996216
49,204,1431A 10 AV SE,2020-04-24,2020,2021-01-14,2021,Unspecified,BAYWEST HOMES,0,BAYWEST HOMES,4,471101,INGLEWOOD,ING,1216500,2673000,1456500,66000.0,"[-114.0305665, 51.03858448]",,,"117,775.25",,,2.9684366398376385
50,174,#1 532 4 AV NE,2018-05-01,2018,2019-02-21,2019,Townhouse,K HICKERSON CONTRACTING,K HICKERSON CONTRACTING,0,3,711555,BRIDGELAND/RIVERSIDE,BRD,394500,1863500,1469000,65500.0,"[-114.0505351, 51.05619883]",,,"237,185.00",,,1.9627188768644217
51,198,2202 36 ST SW,2018-04-12,2018,2020-02-06,2020,Townhouse,MP REAL ESTATE VENTURES INC.,MP REAL ESTATE VENTURES INC.,0,4,878217,KILLARNEY/GLENGARRY,KIL,566500,2044000,1477500,87000.0,"[-114.1395553, 51.03450471]",,,"219,554.25",,,4.866252405485246
52,213,#1 2436 29 ST SW,2018-09-14,2018,2020-08-28,2020,Townhouse,MP REAL ESTATE VENTURES INC.,MP REAL ESTATE VENTURES INC.,0,4,781775,KILLARNEY/GLENGARRY,KIL,529500,2019500,1490000,87000.0,"[-114.1293794, 51.03191838]",,,"195,443.75",,,4.265178263511542
53,186,1703 24 AV NW,2017-06-06,2017,2018-06-25,2018,Townhouse,STONE WEST HOMES,STONE WEST HOMES,0,4,848982,CAPITOL HILL,CAP,520000,2013500,1493500,71500.0,"[-114.0998816, 51.07415856]",,,"212,245.50",,,3.812430994380275
54,211,3807A 2 ST NW,2019-04-02,2019,2020-04-13,2020,Unspecified,AMAYA ARCHITECTURAL DESIGN,AMAYA ARCHITECTURAL DESIGN,0,4,840566,HIGHLAND PARK,HPK,606000,2101500,1495500,70500.0,"[-114.0668365, 51.08630471]",,,"210,141.50",,,4.6359905341926355
55,205,#1 1816 17 ST SW,2018-02-02,2018,2019-05-27,2019,Townhouse,CALGARY TECHNOLOGY HOMES,0,CALGARY TECHNOLOGY HOMES,4,1151238,BANKVIEW,BNK,778500,2275000,1496500,48800.0,"[-114.1014138, 51.03728675]",,,"287,809.50",,,2.224493144731343
56,29,2004 4 ST NW,2017-11-16,2017,2019-08-26,2019,Townhouse,ELEVATED DEVELOPMENTS,ELEVATED DEVELOPMENTS,0,4,723900,MOUNT PLEASANT,MOP,518000,2016500,1498500,78000.0,"[-114.0713338, 51.06981497]",,,"180,975.00",,,2.7892447663656363
57,22,2432 17 ST NW,2018-09-11,2018,2019-09-09,2019,Townhouse,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,ARLUX HOMES,4,854900,CAPITOL HILL,CAP,530500,2048000,1517500,71500.0,"[-114.1019454, 51.07386012]",,,"213,725.00",,,3.8605520666132622
58,196,622 2 ST NE,2018-11-22,2018,2020-07-21,2020,Unspecified,SUNSTAR HOMES,SUNSTAR HOMES,0,4,880000,CRESCENT HEIGHTS,CRE,630500,2150000,1519500,71500.0,"[-114.0574388, 51.05777192]",,,"220,000.00",,,1.7667708171842966
